"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"262","CA","68","34100","0.128491620112","0.145251396648"
"263","CA","88","30438","0.274760383387","0.388059701493"
"264","CA","73","NULL","PrivacySuppressed","PrivacySuppressed"
"265","CA","NULL","1183","0.404971319312","0.427497314715"
"266","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"267","CA","NULL","1598","0.515151515152","0.532015810277"
"268","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"269","CA","NULL","52825","PrivacySuppressed","PrivacySuppressed"
"270","CA","NULL","NULL","0.206132879046","0.223684210526"
"271","CA","NULL","NULL","0.180952380952","PrivacySuppressed"
"272","CA","NULL","1148","0.466595970308","0.475187969925"
"273","CA","NULL","19648","0.21608040201","0.228915662651"
"274","CA","NULL","20725","0.359154929577","0.349397590361"
"275","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"276","CA","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"277","CA","NULL","1162","0.515657620042","0.53743315508"
"278","CA","NULL","24495","0.281967213115","0.30534351145"
"279","CA","NULL","1142","0.433389191454","0.452784503632"
"280","CA","NULL","1312","0.517106549365","0.526908635795"
"281","CA","NULL","1104","0.463487972509","0.489619377163"
"282","CA","NULL","1143","0.427518427518","0.442857142857"
"283","CA","NULL","1338","0.411387329591","0.425206124853"
"284","CA","NULL","1386","0.411571334648","0.428348909657"
"285","CA","NULL","1142","0.395688991532","0.411893071468"
"286","CA","NULL","1552","0.394756838906","0.397291196388"
"287","CA","NULL","NULL","0.15","PrivacySuppressed"
"288","CA","NULL","13350","PrivacySuppressed","PrivacySuppressed"
"289","CA","NULL","1335","0.451927769644","0.469061876248"
"290","CA","NULL","22510","PrivacySuppressed","PrivacySuppressed"
"291","CA","NULL","1312","0.41780155642","0.4282881692"
"292","CA","NULL","44690","0.061093247588","PrivacySuppressed"
"293","CA","30","NULL","PrivacySuppressed","PrivacySuppressed"
"294","CA","NULL","1220","0.444937176644","0.445188017846"
